,word,avg.change,change_12,change_23
1699,become,0.04582193378572108,0.05524595782570141,0.03639790974574075
18954,thee,0.04586078353244405,0.044431823424852745,0.04728974364003535
1661,bear,0.045865173892942035,0.042531110699560615,0.049199237086323455
20871,whose,0.04587459620568052,0.05081273307718903,0.040936459334172004
18977,therefore,0.04588643724468511,0.04918031208297635,0.042592562406393863
2348,bring,0.04604891581375342,0.04993273045613911,0.042165101171367736
8419,god,0.04626407683823208,0.04853907250191458,0.04398908117454958
2903,certainly,0.04630203817724149,0.04831355856057051,0.044290517793912465
4765,death,0.046395080961557145,0.05616103615095647,0.03662912577215782
18275,subject,0.04643950793794227,0.05050171077618437,0.04237730509970017
8220,gave,0.04650617585936778,0.04516920561858773,0.04784314610014784
7349,fear,0.046522589742509,0.04748695878611331,0.045558220698904695
12037,mind,0.04652997076602633,0.04277087771958865,0.05028906381246401
16856,sense,0.046538253098370896,0.048793710555346315,0.04428279564139548
2393,brought,0.04657722503238382,0.04934970501954705,0.04380474504522058
12623,neither,0.04670064716392902,0.04326038304997093,0.05014091127788711
17258,since,0.04676414537700391,0.061496086871559164,0.03203220388244865
20771,went,0.04684072430928071,0.056426994613972714,0.03725445400458871
15279,read,0.04686211417498887,0.05399218859699251,0.039732039752985226
16102,right,0.04694220322128462,0.05584324820733688,0.03804115823523235
18501,suppose,0.04698579068467912,0.053845067093197696,0.04012651427616054
16555,saw,0.0470015960223219,0.05562508269962929,0.03837810934501451
21046,words,0.04701030603419948,0.05848983494258175,0.0355307771258172
19040,thou,0.0470414429932694,0.04596639728372509,0.04811648870281371
8436,gone,0.047049781860521334,0.055415765205084844,0.038683798515957823
4691,dare,0.047059776888452476,0.05933518211237021,0.03478437166453474
10710,kept,0.04708970515901478,0.05110118760530824,0.043078222712721326
20993,within,0.04713384278494437,0.05766129320662394,0.036606392363264795
8020,friends,0.04716465418656324,0.04460160589087414,0.049727702482252334
14334,power,0.047208597055859725,0.05208206439364893,0.04233512971807052
614,also,0.04733617069212798,0.052938682339010334,0.04173365904524562
15108,quite,0.04739893892489194,0.059055356643608725,0.03574252120617516
11895,men,0.04743262262839798,0.05326487545745129,0.04160036979934467
12651,new,0.04744208712164055,0.05842461435918789,0.03645955988409322
11747,master,0.04744898118461682,0.05172390153776785,0.0431740608314658
8080,full,0.047573810002062344,0.05377672164855485,0.04137089835556984
10834,lady,0.047626076972846876,0.04910901514097454,0.04614313880471921
5868,doubt,0.04765713361498819,0.060399171098551974,0.034915096131424406
2616,came,0.047664669079091504,0.060863235923103054,0.034466102235079954
1445,bad,0.04767050724403027,0.05552900245878989,0.03981201202927065
14976,purpose,0.047800920211741815,0.05030730728093047,0.04529453314255316
9239,home,0.047826968461540886,0.0605315241229597,0.03512241280012207
3589,common,0.04783771054679603,0.052596862352969675,0.043078558740622386
14289,possible,0.047898360862998146,0.05159026674427414,0.044206454981722154
8265,gentleman,0.04794218001207867,0.05099734481049234,0.044887015213665005
16564,says,0.0481071502084236,0.05286173737164723,0.043352563045199966
18856,ten,0.04816081729792898,0.050200733903210004,0.04612090069264796
12338,mother,0.04832022182398937,0.05979546528029778,0.03684497836768097
19242,took,0.04840176974158955,0.05594837937109054,0.04085516011208856
